SHEETBAR,DATE,SECCHI,SECCHIQF,ZICE,ZICEQF,ZSNOW,ZSNOWQF,VEGDENS,VEGTYPE,UTMZONE,NORTHING,EASTING,FLDEAST,FLDNORTH,Z,ZQF,TEMP,TEMPQF,DO,DOQF,PH,PHQF,TURB,TURBQF,COND,CONDQF,VEL,VELQF,SRP,SRPQF,TSP,TSPQF,TP,TPQF,TN,TNQF,TSN,TSNQF,SS,SSQF,NHX,NHXQF,NOX,NOXQF,SI,SIQF,CL,CLQF,HABCLASS,CHLcal
42000054,7/19/1993,40,,,,,,,,15,4833712,642255,,,0.2,,23.3,,6.1,,7.3,,22,,426,,0.66,,,,,,,,,,,,,,,,,,,,,,,
42000055,7/19/1993,48,,,,,,1,E,15,4833353,641852,,,0.2,,23.1,,6.4,,7.1,,22,,463,,0.52,,0.198,,,,0.224,,3.613,,,,35.2,,0.059,,2.429,,,,,,,7.84015
42000056,7/19/1993,30,,,,,,,,15,4834008,640241,,,0.2,,23,,6.7,,7.5,,36,,479,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000058,7/19/1993,32,,,,,,,,15,4833636,640299,,,0.2,,23.2,,6.8,,7.6,,31,,477,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000059,7/19/1993,32,,,,,,,,15,4833512,640301,,,0.2,,23.2,,6.8,,7.6,,32,,479,,0.2,,0.207,,,,0.225,,3.377,,,,41.4,,0.056,,2.738,,,,,,,6.55327
42000060,7/19/1993,21,,,,,,,,15,4833330,640033,,,0.2,,22.7,,6.3,,7.5,,53,,484,,0.29,,0.196,,,,0.28,,3.993,,,,86.6,,0.077,,2.922,,,,,,,6.79456
42000061,7/19/1993,26,,,,,,,,15,4831108,640073,,,0.2,,23.2,,6.7,,7.5,,52,,482,,0.27,,,,,,,,,,,,,,,,,,,,,,,
42000062,7/19/1993,26,,,,,,,,15,4829702,640101,,,0.2,,22.9,,6.3,,7.2,,48,,487,,0.25,,0.197,,,,0.285,,4.626,,,,84.5,,0.114,,2.895,,,,,,,5.99026
42000064,7/19/1993,37,,,,,,,,15,4829359,640812,,,0.2,,23.5,,6.9,,7.5,,35,,484,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000065,7/19/1993,44,,,,,,,,15,4829718,641474,,,0.2,,23.7,,6.9,,7.4,,25,,473,,0.38,,,,,,,,,,,,,,,,,,,,,,,
42000066,7/19/1993,48,,,,,,,,15,4830116,641481,,,0.2,,23.8,,7,,7.4,,22,,468,,0.35,,0.197,,,,0.226,,3.269,,,,40.5,,0.053,,2.541,,,,,,,7.19671
42000066,7/19/1993,48,,,,,,,,15,4830116,641481,,,2.3,,23.8,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000067,7/19/1993,57,,,,,,,,15,4829872,642680,,,0.2,,24,,6.6,,7.7,,19,,448,,0.3,,0.191,,,,0.224,,3.92,,,,28.1,,0.052,,2.299,,,,,,,6.71413
42000067,7/19/1993,57,,,,,,,,15,4829872,642680,,,2.8,,24,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000068,7/19/1993,53,,,,,,,,15,4829826,643249,,,0.2,,24,,6.3,,7.5,,18,,412,,1.05,,,,,,,,,,,,,,,,,,,,,,,
42000070,7/19/1993,52,,,,,,,,15,4854312,639655,,,0.2,,23,,5.4,,7,,13,,407,,0.18,,,,,,,,,,,,,,,,,,,,,,,
42000070,7/19/1993,52,,,,,,,,15,4854312,639655,,,2.7,,23,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000071,7/19/1993,50,,,,,,,,15,4853112,638855,,,0.2,,22.8,,6,,7.4,,22,,468,,0.65,,,,,,,,,,,,,,,,,,,,,,,
42000072,7/19/1993,45,,,,,,,,15,4853512,639855,,,0.2,,23.8,,5.7,,7.1,,19,,444,,0.03,,0.191,,,,0.22,,2.889,,,,29.6,,0.074,,2.185,,,,,,,6.79456
42000072,7/19/1993,45,,,,,,,,15,4853512,639855,,,2.2,,23.8,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000073,7/19/1993,81,,,,,,,,15,4852912,639655,,,0.2,,24.8,,7.6,,7.5,,6,,482,,0.03,,0.278,,,,0.311,,3.205,,,,4.5,,0.042,,1.83,,,,,,,11.86165
42000073,7/19/1993,81,,,,,,,,15,4852912,639655,,,3.2,,21.5,,5.2,,7,,6,,462,,0.01,,0.258,,,,0.243,,3.341,,,,,,0.077,,2.276,,,,,,,
42000076,7/19/1993,45,,,,,,,,15,4851512,639655,,,0.2,,23,,5.9,,7.4,,16,,466,,0.14,,,,,,,,,,,,,,,,,,,,,,,
42000077,7/19/1993,45,,,,,,,,15,4851312,639455,,,0.2,,23,,6,,7.6,,21,,469,,1.2,,0.202,,,,0.23,,4.201,,,,26.9,,0.057,,2.421,,,,,,,7.51843
42000078,7/19/1993,44,,,,,,,,15,4852312,639855,,,0.2,,23,,5.8,,7.4,,21,,465,,0.35,,,,,,,,,,,,,,,,,,,,,,,
42000079,7/19/1993,48,,,,,,,,15,4854712,638055,,,0.2,,23,,5.7,,7.4,,21,,470,,0.51,,0.204,,,,0.229,,3.993,,,,24.9,,0.053,,2.49,,,,,,,8.96617
42000080,7/19/1993,35,,,,,,,,15,4856912,637055,,,0.2,,23.5,,6.5,,7.4,,23,,432,,0.59,,0.189,,,,0.236,,3.16,,,,36.7,,0.064,,2.225,,,,,,,8.80531
42000082,7/19/1993,37,,,,,,,,15,4857312,636855,,,0.2,,23.7,,6.4,,7.4,,23,,429,,0.59,,0.186,,,,0.229,,3.341,,,,36.7,,0.07,,2.187,,,,,,,8.48359
42000083,7/19/1993,43,,,,,,,,15,4857912,636855,,,0.2,,23.8,,6.3,,7.5,,18,,426,,0.02,,0.19,,,,0.208,,4.065,,,,26.4,,0.069,,2.157,,,,,,,7.84015
42000083,7/19/1993,43,,,,,,,,15,4857912,636855,,,4.4,,22.5,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000084,7/20/1993,50,,,,,,,,15,4832312,643055,,,0.2,,23.5,,6.5,,7.2,,15,,433,,0.7,,0.185,,,,0.212,,2.753,,,,28.2,,0.058,,2.047,,,,,,,7.67929
42000085,7/20/1993,53,,,,,,,,15,4831960,642853,,,0.2,,23.6,,6.6,,7.5,,17,,440,,0.35,,0.185,,,,0.204,,4.174,,,,21.6,,0.057,,2.131,,,,,,,9.60961
42000086,7/20/1993,54,,,,,,,,15,4831496,642889,,,0.2,,23.7,,6.5,,7.6,,17,,440,,0.42,,,,,,,,,,,,,,,,,,,,,,,
42000088,7/20/1993,52,,,,,,,,15,4830922,643012,,,0.2,,23.7,,6.6,,7.6,,14,,435,,0.31,,0.183,,,,0.198,,3.839,,,,22.7,,0.087,,2.036,,,,,,,10.33348
42000089,7/20/1993,53,,,,,,,,15,4830330,642845,,,0.2,,23.7,,6.8,,7.6,,15,,440,,0.38,,,,,,,,,,,,,,,,,,,,,,,
42000090,7/20/1993,50,,,,,,,,15,4830168,643225,,,0.2,,23.5,,6.5,,7.6,,23,,426,,0.6,,,,,,,,,,,,,,,,,,,,,,,
42000091,7/20/1993,52,,,,,,,,15,4829515,643204,,,0.2,,23.7,,6.2,,7.4,,16,,421,,0.6,,0.176,,,,0.217,,2.726,,,,25,,0.058,,1.848,,,,,,,9.36832
42000092,7/20/1993,43,,,,,,,,15,4828310,642858,,,0.2,,23.9,,7,,7.8,,21,,458,,0.5,,,,,,,,,,,,,,,,,,,,,,,
42000093,7/20/1993,45,,,,,,,,15,4826065,642817,,,0.2,,24,,6.7,,7.6,,20,,461,,1.08,,,,,,,,,,,,,,,,,,,,,,,
42000094,7/20/1993,35,,,,,,,,15,4825912,642655,,,0.2,,23.5,,6.6,,7.7,,33,,492,,0.83,,0.2,,,,0.243,,4.156,,,,50.6,,0.054,,2.626,,,,,,,10.81606
42000095,7/20/1993,45,,,,,,,,15,4827578,642464,,,0.2,,24,,6.5,,7.5,,21,,478,,0.63,,,,,,,,,,,,,,,,,,,,,,,
42000096,7/20/1993,53,,,,,,,,15,4827926,643024,,,0.2,,24,,6.2,,7.5,,19,,444,,0.82,,0.188,,,,0.205,,3.097,,,,32,,0.06,,2.167,,,,,,,10.6552
42000097,7/20/1993,58,,,,,,1,E,15,4856477,638459,,,0.2,,22.9,,5.9,,7.1,,12,,435,,0.06,,,,,,,,,,,,,,,,,,,,,,,
42000097,7/20/1993,58,,,,,,1,E,15,4856477,638459,,,1.9,,22.9,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000098,7/20/1993,58,,,,,,,,15,4856912,638655,,,0.2,,23,,6.1,,7.3,,14,,426,,0.11,,0.187,,,,0.206,,2.617,,,,14.2,,0.076,,2.101,,,,,,,7.84015
42000098,7/20/1993,58,,,,,,,,15,4856912,638655,,,2.3,,23,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000099,7/20/1993,60,,,,,,,,15,4857112,638655,,,0.2,,23,,6.2,,7.3,,12,,418,,0.17,,0.183,,,,0.199,,2.364,,,,12.4,,0.081,,2.054,,,,,,,8.00101
42000099,7/20/1993,60,,,,,,,,15,4857112,638655,,,2.7,,23,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000100,7/20/1993,61,,,,,,,,15,4857512,638455,,,0.2,,23.1,,6.3,,7.2,,14,,412,,0.05,,,,,,,,,,,,,,,,,,,,,,,
42000100,7/20/1993,61,,,,,,,,15,4857512,638455,,,2.5,,23.1,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000101,7/20/1993,60,,,,,,,,15,4857112,638255,,,0.2,,23.1,,6.2,,7.2,,13,,433,,0.05,,0.19,,,,0.199,,3.251,,,,14.7,,0.072,,1.998,,,,,,,8.88574
42000101,7/20/1993,60,,,,,,,,15,4857112,638255,,,1.9,,23,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000102,7/20/1993,74,,,,,,,,15,4857912,638655,,,0.2,,24,,7.1,,7.3,,8,,409,,0.04,,0.165,,,,0.186,,3.676,,,,8.2,,0.066,,1.967,,,,,,,11.53993
42000102,7/20/1993,74,,,,,,,,15,4857912,638655,,,2.3,,23.1,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000103,7/20/1993,52,,,,,,,,15,4850312,639855,,,0.2,,23.1,,6.1,,7.4,,20,,429,,1.22,,,,,,,,,,,,,,,,,,,,,,,
42000104,7/20/1993,52,,,,,,,,15,4849652,640266,,,0.2,,23.1,,6.2,,7.4,,22,,434,,1.17,,0.188,,,,0.219,,3.477,,,,29,,0.08,,2.114,,,,,,,10.73563
42000105,7/20/1993,48,,,,,,,,15,4847720,640827,,,0.2,,23.3,,6.6,,7.4,,23,,469,,0.54,,,,,,,,,,,,,,,,,,,,,,,
42000106,7/20/1993,47,,,,,,,,15,4848312,641055,,,0.2,,23.2,,6.7,,7.4,,22,,470,,0.7,,,,,,,,,,,,,,,,,,,,,,,
42000107,7/20/1993,49,,,,,,,,15,4848512,640855,,,0.2,,23.3,,6.5,,7.5,,21,,471,,0.15,,0.198,,,,0.238,,2.889,,,,34.5,,0.051,,2.433,,,,,,,12.10294
42000108,7/21/1993,46,,,,,,,,15,4838295,639452,,,0.2,,23.1,,7.2,,7.6,,23,,491,,0.95,,,,,,,,,,,,,,,,,,,,,,,
42000109,7/21/1993,38,,,,,,,,15,4837730,639469,,,0.2,,23.1,,7.2,,7.7,,26,,497,,0.65,,0.198,,,,0.232,,3.703,,,,38.8,,0.042,,2.599,,,,,,,10.57477
42000110,7/21/1993,39,,,,,,,,15,4836929,639277,,,0.2,,23.1,,7.5,,7.6,,26,,499,,0.66,,,,,,,,,,,,,,,,,,,,,,,
42000111,7/21/1993,33,,,,,,,,15,4836530,639458,,,0.2,,23.1,,7.2,,7.7,,28,,496,,0.32,,,,,,,,,,,,,,,,,,,,,,,
42000112,7/21/1993,42,,,,,,2,B,15,4836527,639673,,,0.2,,23.4,,6.8,,7.7,,16,,493,,0,,0.197,,,,0.223,,3.522,,,,14.3,,0.046,,2.562,,,,,,,10.49434
42000113,7/21/1993,50,,,,,,2,B,15,4837142,639686,,,0.2,,23.5,,8.4,,7.8,,11,,490,,0,,0.138,,,,0.217,,3.205,,,,10.6,,0.06,,1.967,,,,,,,16.2853
42000113,7/21/1993,50,,,,,,2,B,15,4837142,639686,,,0.5,,22.6,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000114,7/21/1993,36,,,,,,,,15,4836301,639286,,,0.2,,23.1,,7,,7.6,,27,,496,,0.7,,,,,,,,,,,,,,,,,,,,,,,
42000115,7/21/1993,33,,,,,,,,15,4836327,639045,,,0.2,,22.8,,6.7,,7.7,,30,,505,,0.51,,0.185,,,,0.238,,3.794,,,,45.4,,0.07,,2.843,,,,,,,8.40316
42000116,7/21/1993,37,,,,,,,,15,4836113,639271,,,0.2,,23.3,,6.6,,7.6,,27,,497,,0.49,,0.195,,,,0.243,,4.065,,,,39.3,,0.053,,2.617,,,,,,,10.25305
42000117,7/21/1993,47,,,,,,,,15,4835931,639459,,,0.2,,23.3,,7,,7.8,,27,,498,,0.46,,,,,,,,,,,,,,,,,,,,,,,
42000118,7/21/1993,38,,,,,,2,B,15,4835894,639681,,,0.2,,23.9,,7.3,,7.8,,17,,494,,0.22,,0.196,,,,0.24,,4.653,,,,38,,0.047,,2.596,,,,,,,10.6552
42000119,7/21/1993,37,,,,,,,,15,4835739,639242,,,0.2,,23.3,,,0,7.7,,27,,500,,0.57,,,,,,,,,,,,,,,,,,,,,,,
42000120,7/21/1993,48,,,,,,1,B,15,4835911,640283,,,0.2,,24.1,,,0,7.7,,13,,494,,0.01,,0.2,,,,0.194,,3.748,,,,26.1,,0.044,,2.392,,,,,,,11.21821
42000121,7/21/1993,46,,,,,,,,15,4835517,640426,,,0.2,,24.3,,,0,7.8,,17,,494,,0.02,,0.198,,,,0.211,,3.359,,,,21.4,,0.047,,2.454,,,,,,,12.10294
42000121,7/21/1993,46,,,,,,,,15,4835517,640426,,,1.6,,23.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000122,7/21/1993,46,,,,,,,,15,4835712,640855,,,0.2,,24.5,,,0,7.8,,13,,494,,0.08,,0.2,,,,0.209,,3.522,,,,24.6,,0.045,,2.451,,,,,,,12.98767
42000122,7/21/1993,46,,,,,,,,15,4835712,640855,,,1.1,,24.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000123,7/21/1993,46,,,,,,,,15,4833512,640255,,,0.2,,25,,,0,7.8,,13,,493,,0.03,,0.196,,,,0.22,,4.554,,,,19.5,,0.058,,2.475,,,,,,,14.6767
42000123,7/21/1993,46,,,,,,,,15,4833512,640255,,,1.4,,24.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000124,7/21/1993,55,,,,,,,,15,4848112,641855,,,0.2,,23,,6.2,,7.2,,15,,395,,0.36,,,,,,,,,,,,,,,,,,,,,,,
42000125,7/21/1993,50,,,,,,,,15,4848512,641855,,,0.2,,23,,6.2,,7.2,,14,,400,,0.13,,,,,,,,,,,,,,,,,,,,,,,
42000125,7/21/1993,50,,,,,,,,15,4848512,641855,,,1.9,,23,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000126,7/21/1993,52,,,,,,,,15,4846435,642438,,,0.2,,23.1,,6.3,,7.3,,18,,415,,0.91,,0.178,,,,0.223,,3.658,,,,22.2,,0.094,,1.933,,,,,,,11.13778
42000127,7/21/1993,49,,,,,,,,15,4846712,642455,,,0.2,,23,,6.4,,7.5,,17,,416,,0.91,,,,,,,,,,,,,,,,,,,,,,,
42000128,7/21/1993,64,,,,,,2,B,15,4846312,642855,,,0.2,,23.1,,6.6,,7.5,,14,,415,,,,,,,,,,,,,,,,,,,,,,,,,
42000128,7/21/1993,64,,,,,,2,B,15,4846312,642855,,,1.1,,23.1,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000129,7/21/1993,67,,,,,,1,B,15,4846756,642918,,,0.2,,23.5,,6.6,,7.5,,10,,413,,0.07,,0.18,,,,0.187,,2.517,,,,7.4,,0.07,,1.926,,,,,,,10.09219
42000129,7/21/1993,67,,,,,,1,B,15,4846756,642918,,,1.1,,23.2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000130,7/21/1993,56,,,,,,,,15,4845912,642455,,,0.2,,23.1,,6.3,,7.4,,18,,416,,0.93,,,,,,,,,,,,,,,,,,,,,,,
42000131,7/21/1993,49,,,,,,,,15,4845312,642255,,,0.2,,23.1,,6.4,,7.5,,16,,416,,0.49,,0.179,,,,0.212,,3.631,,,,23.4,,0.073,,1.938,,,,,,,10.6552
42000132,7/21/1993,50,,,,,,,,15,4845512,642055,,,0.2,,23.2,,6.4,,7.7,,16,,417,,0.48,,0.179,,,,0.21,,3.567,,,,22.6,,0.084,,1.934,,,,,,,10.6552
42000133,7/21/1993,56,,,,,,,,15,4845112,642055,,,0.2,,23.2,,6.5,,7.3,,16,,416,,0.49,,,,,,,,,,,,,,,,,,,,,,,
42000134,7/21/1993,44,,,,,,2,S,15,4844912,642655,,,0.2,,23.5,,6.5,,7.2,,17,,411,,0.08,,,,,,,,,,,,,,,,,,,,,,,
42000134,7/21/1993,44,,,,,,2,S,15,4844912,642655,,,1.2,,23.5,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000135,7/21/1993,54,,,,,,,,15,4843729,640834,,,0.2,,23.1,,6.5,,7.5,,22,,443,,0.9,,0.189,,,,0.224,,2.997,,,,29.7,,0.07,,2.14,,,,,,,10.6552
42000136,7/21/1993,50,,,,,,,,15,4844512,640855,,,0.2,,23.2,,6.6,,7.5,,20,,441,,0.76,,0.19,,,,0.231,,3.54,,,,26.3,,0.068,,2.115,,,,,,,12.34423
42000137,7/21/1993,56,,,,,,,,15,4844712,640855,,,0.2,,23.2,,6.5,,7.4,,20,,439,,0.99,,0.189,,,,0.222,,2.898,,,,27.1,,0.055,,2.135,,,,,,,11.05735
42000138,7/21/1993,55,,,,,,,,15,4844967,640452,,,0.2,,23.2,,6.8,,7.4,,22,,468,,1.04,,,,,,,,,,,,,,,,,,,,,,,
42000139,7/21/1993,55,,,,,,,,15,4845356,640617,,,0.2,,23.2,,6.8,,7.5,,23,,461,,1.12,,,,,,,,,,,,,,,,,,,,,,,
42000140,7/21/1993,56,,,,,,,,15,4845712,641055,,,0.2,,23.5,,6.5,,7.5,,17,,442,,0.08,,,,,,,,,,,,,,,,,,,,,,,
42000140,7/21/1993,56,,,,,,,,15,4845712,641055,,,1.6,,23.3,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000141,7/21/1993,49,,,,,,,,15,4846112,641055,,,0.2,,23.8,,6.5,,7.7,,18,,446,,0.18,,0.191,,,,0.23,,3.395,,,,23.8,,0.059,,2.13,,,,,,,11.94208
42000141,7/21/1993,49,,,,,,,,15,4846112,641055,,,1.2,,23.2,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000142,7/21/1993,68,,,,,,1,E,15,4852712,639655,,,0.2,,24.2,,6.9,,7.7,,11,,479,,0.02,,,,,,,,,,,,,,,,,,,,,,,
42000142,7/21/1993,68,,,,,,1,E,15,4852712,639655,,,2,,22.9,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000143,7/21/1993,106,,,,,,2,E,15,4850151,638278,,,0.2,,24.4,,6.1,,7.4,,3,,478,,0.02,,,,,,,,,,,,,,,,,,,,,,,
42000143,7/21/1993,106,,,,,,2,E,15,4850151,638278,,,2,,21.9,,0.6,,7.3,,6,,486,,0.02,,,,,,,,,,,,,,,,,,,,,,,
42000144,7/21/1993,168,,,,,,2,B,15,4850126,638104,,,0.2,,24.8,,6.2,,8,,1,,473,,0.03,,,,,,,,,,,,,,,,,,,,,,,
42000144,7/21/1993,168,,,,,,2,B,15,4850126,638104,,,1.3,,23.1,,3,,7.5,,2,,477,,,X,,,,,,,,,,,,,,,,,,,,,,
42000144,7/21/1993,168,,,,,,2,B,15,4850126,638104,,,2.3,,21.1,,0.4,,7.2,,2,,497,,0.03,,,,,,,,,,,,,,,,,,,,,,,
42000145,7/21/1993,162,,,,,,2,B,15,4850336,638285,,,0.2,,25.1,,5,,7.5,,2,,473,,0.02,,,,,,,,,,,,,,,,,,,,,,,
42000145,7/21/1993,162,,,,,,2,B,15,4850336,638285,,,1.1,,24,,3,,7.4,,2,,473,,,X,,,,,,,,,,,,,,,,,,,,,,
42000145,7/21/1993,162,,,,,,2,B,15,4850336,638285,,,2,,22.9,,3.6,,7.4,,5,,476,,0.01,,,,,,,,,,,,,,,,,,,,,,,
42000146,7/22/1993,42,,,,,,,,15,4837912,640055,,,0.2,,23.8,,6.7,,7.7,,22,,488,,0.6,,0.205,,,,0.231,,4.119,,,,30.3,,0.038,,2.212,,,,,,,11.94208
42000147,7/22/1993,45,,,,,,,,15,4837712,640255,,,0.2,,23.5,,6.5,,7.7,,17,,297,,0.2,,,,,,,,,,,,,,,,,,,,,,,
42000148,7/22/1993,46,,,,,,,,15,4837512,640455,,,0.2,,23.5,,6.7,,7.7,,17,,487,,0.22,,,,,,,,,,,,,,,,,,,,,,,
42000149,7/22/1993,47,,,,,,,,15,4837762,641665,,,0.2,,23.5,,6.8,,7.7,,20,,477,,0.26,,,,,,,,,,,,,,,,,,,,,,,
42000150,7/22/1993,51,,,,,,,,15,4836747,642074,,,0.2,,23.5,,6.6,,7.7,,16,,462,,0.55,,,,,,,,,,,,,,,,,,,,,,,
42000151,7/22/1993,58,,,,,,,,15,4835271,642285,,,0.2,,23.5,,6,,7.6,,14,,452,,0.18,,0.185,,,,0.198,,3.703,,,,21,,0.051,,1.916,,,,,,,12.2638
42000152,7/22/1993,51,,,,,,,,15,4838076,642879,,,0.2,,23.8,,6.3,,7.7,,13,,445,,0.4,,,,,,,,,,,,,,,,,,,,,,,
42000153,7/22/1993,47,,,,,,,,15,4838276,642799,,,0.2,,23.9,,7,,7.7,,15,,443,,0.37,,0.181,,,,0.212,,2.545,,,,20.5,,0.043,,1.888,,,,,,,13.95283
42000154,7/22/1993,57,,,,,,,,15,4838712,642454,,,0.2,,23.8,,6.8,,7.7,,13,,456,,0.45,,0.186,,,,0.204,,3.251,,,,16.2,,0.045,,2.03,,,,,,,11.4595
42000155,7/22/1993,47,,,,,,,,15,4839124,642241,,,0.2,,23.9,,6.9,,7.7,,16,,464,,0.35,,,,,,,,,,,,,,,,,,,,,,,
42000156,7/22/1993,50,,,,,,,,15,4839156,642078,,,0.2,,24,,7.2,,7.8,,17,,467,,0.45,,0.195,,,,0.243,,2.545,,,,26.4,,0.064,,2.067,,,,,,,11.86165
42000157,7/22/1993,51,,,,,,,,15,4839508,643085,,,0.2,,23.9,,6.9,,7.8,,14,,437,,0.5,,,,,,,,,,,,,,,,,,,,,,,
42000158,7/22/1993,52,,,,,,1,S,15,4839764,643031,,,0.2,,23.9,,7.2,,7.7,,14,,445,,0.22,,0.18,,,,0.224,,2.092,,,,20.2,,0.047,,1.858,,,,,,,13.8724
42000159,7/22/1993,43,,,,,,2,B,15,4839112,640855,,,0.2,,24.3,,8.1,,7.9,,17,,483,,0.01,,0.195,,,,0.229,,3.549,,,,20,,0.045,,2.096,,,,,,,16.76788
42000160,7/22/1993,42,,,,,,2,B,15,4839145,640270,,,0.2,,23.9,,7,,7.9,,22,,485,,0.5,,,,,,,,,,,,,,,,,,,,,,,
42000161,7/22/1993,45,,,,,,2,E,15,4839502,640676,,,0.2,,24.2,,7.2,,7.9,,15,,482,,0.1,,0.196,,,,0.216,,2.726,,,,9.4,,0.049,,2.201,,,,,,,13.95283
42000162,7/22/1993,45,,,,,,,,15,4843712,640655,,,0.2,,23.2,,6.6,,7.5,,21,,454,,0.94,,0.191,,,,0.236,,3.187,,,,28.4,,0.053,,2.019,,,,,,,11.86165
42000163,7/22/1993,50,,,,,,1,E,15,4842912,640655,,,0.2,,23.2,,6.5,,7.5,,20,,452,,0.09,,,,,,,,,,,,,,,,,,,,,,,
42000164,7/22/1993,50,,,,,,2,E,15,4843112,640655,,,0.2,,23.2,,6.4,,7.8,,16,,452,,0.04,,0.191,,,,0.219,,3.296,,,,24.9,,0.065,,2.102,,,,,,,12.98767
42000165,7/22/1993,46,,,,,,2,B,15,4842712,640855,,,0.2,,23.2,,6.5,,7.7,,20,,449,,0.16,,0.188,,,,0.228,,4.373,,,,23.8,,0.064,,2.115,,,,,,,12.2638
42000166,7/22/1993,59,,,,,,2,E,15,4843112,641255,,,0.2,,23.8,,6.8,,7.7,,10,,443,,0.02,,0.193,,,,0.205,,2.726,,,,11.6,,0.064,,2.063,,,,,,,12.90724
42000166,7/22/1993,59,,,,,,2,E,15,4843112,641255,,,1.3,,23.2,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000167,7/22/1993,48,,,,,,2,E,15,4843312,641455,,,0.2,,23.3,,6.3,,7.6,,15,,434,,0.19,,0.191,,,,0.218,,3.522,,,,21.9,,0.048,,1.913,,,,,,,11.13778
42000168,7/22/1993,60,,,,,,,,15,4842732,641672,,,0.2,,23.4,,6.8,,7.6,,13,,439,,0.31,,0.19,,,,0.211,,3.251,,,,16.4,,0.062,,1.944,,,,,,,13.8724
42000169,7/22/1993,48,,,,,,2,E,15,4840868,641242,,,0.2,,23.8,,7,,7.8,,14,,452,,0.02,,0.211,,,,0.211,,3.359,,,,15,,0.311,,3.768,,,,,,,13.30939
42000169,7/22/1993,48,,,,,,2,E,15,4840868,641242,,,0.6,,23.5,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000170,7/22/1993,45,,,,,,,,15,4841712,640255,,,0.2,,23.2,,6.6,,7.7,,22,,457,,0.14,,0.189,,,,0.243,,3.45,,,,34.2,,0.055,,2.156,,,,,,,13.55068
42000171,7/22/1993,40,,,,,,1,E,15,4840912,640255,,,0.2,,23.3,,6.7,,7.7,,24,,462,,0.04,,0.125,,,,0.252,,4.943,,,,40.9,,0.096,,2.31,,,,,,,15.88315
42000172,7/22/1993,47,,,,,,,,15,4841112,640055,,,0.2,,23.2,,6.8,,7.7,,21,,463,,0.4,,,,,,,,,,,,,,,,,,,,,,,
42000173,7/22/1993,45,,,,,,,,15,4842135,639863,,,0.2,,22.8,,7,,7.8,,26,,488,,0.75,,,,,,,,,,,,,,,,,,,,,,,
42000174,7/22/1993,42,,,,,,,,15,4841917,639642,,,0.2,,22.8,,6.9,,7.7,,28,,488,,0.89,,0.196,,,,0.252,,3.975,,,,42.3,,0.052,,2.794,,,,,,,12.42466
42000175,7/22/1993,47,,,,,,,,15,4841323,639645,,,0.2,,23.2,,6.8,,7.6,,23,,467,,0.94,,0.195,,,,0.242,,3.902,,,,31.8,,0.075,,2.098,,,,,,,16.04401
42000176,7/23/1993,43,,,,,,,,15,4843312,644055,,,0.2,,22.8,,6.1,,6.7,,19,,420,,0.6,,,,,,,,,,,,,,,,,,,,,,,
42000177,7/23/1993,50,,,,,,1,E,15,4842912,644455,,,0.2,,22.4,,5.6,,6.9,,16,,420,,0.03,,0.172,,,,0.234,,2.336,,,,21.4,,0.062,,1.727,,,,,,,11.53993
42000177,7/23/1993,50,,,,,,1,E,15,4842912,644455,,,1.3,,22.2,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000178,7/23/1993,49,,,,,,1,E,15,4842712,644055,,,0.2,,22.5,,5.5,,7,,21,,422,,0.22,,,,,,,,,,,,,,,,,,,,,,,
